	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
BGSU1251	[3.0, 2.5]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]
ITRS2003	[3.0, 3.0]	[3.5, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]
BGSU1114	[3.5, 3.0]	[4.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
DBAN2057	[3.0, 3.0]	[3.0, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]
FRUB1009	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 2.0]	[3.5, 3.0]
NOUO1025	[3.0, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
NOUO1046	[3.0, 3.5]	[3.0, 4.0]	[2.0, 1.5]	[2.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TRCU1125	[2.5, 2.5]	[2.5, 2.5]	[1.5, 1.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
TRCU1062	[2.5, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[2.0, 1.0]	[2.5, 2.0]	[3.0, 3.5]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]
CNUK1134	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 2.0]	[2.5, 2.0]
FRUC3073	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]
FIHE1008	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]
CNUK1148	[3.0, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]
TRCU1053	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]
SPM04010	[3.0, 2.5]	[4.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.5, 2.0]	[3.0, 2.0]	[3.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]
FIJY1024	[3.5, 2.5]	[4.0, 3.0]	[3.5, 2.0]	[3.5, 2.5]	[4.0, 2.5]	[4.0, 2.0]	[3.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 2.5]
CNUK1099	[2.0, 2.0]	[2.5, 2.0]	[3.5, 4.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
FIJY1074	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]
BGSU1189	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN2018	[3.5, 3.5]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1205	[2.5, 2.5]	[4.0, 4.0]	[3.5, 4.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 2.5]	[2.5, 2.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 4.0]
FIJY1008	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]
SPM01006	[3.5, 2.0]	[4.0, 1.0]	[3.5, 1.5]	[3.0, 1.0]	[3.5, 1.0]	[3.0, 1.5]	[3.0, 1.0]	[3.5, 1.5]	[3.0, 1.0]	[3.5, 2.0]	[3.5, 1.0]
TSNO1011	[3.0, 3.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 3.0]
TRCU1060	[2.5, 2.5]	[3.0, 2.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]
DBAN1034	[3.0, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.5]
FRUB1023	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FIJY1001	[3.0, 2.5]	[3.5, 4.0]	[3.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]
CNUK1097	[2.5, 2.5]	[3.5, 4.0]	[2.0, 1.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]
CZPR2039	[1.5, 1.0]	[1.5, 1.5]	[2.0, 1.0]	[1.0, 1.0]	[1.5, 1.0]	[1.0, 1.0]	[2.0, 2.0]	[2.5, 3.0]	[2.0, 2.0]	[2.0, 1.5]	[2.0, 2.0]
TRCU1065	[3.0, 3.5]	[3.0, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 3.0]	[2.0, 2.0]	[3.0, 3.5]
FIJY1015	[3.0, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 2.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]
FRUL1007	[2.5, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]
SPM01016	[3.0, 3.0]	[4.0, 3.5]	[4.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.0]
FRUB2017	[3.5, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]
CNUK1018	[3.5, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1255	[3.0, 2.5]	[3.0, 2.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.5]
BGSU1102	[2.0, 2.0]	[2.5, 2.0]	[2.0, 1.0]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 3.5]	[2.0, 2.5]	[2.5, 2.0]	[2.5, 2.0]
RUMO5045	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 2.5]	[2.5, 3.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.0]
RUMO6014	[2.0, 2.0]	[2.0, 2.0]	[2.5, 3.5]	[1.5, 1.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]
TRCU1041	[3.5, 3.5]	[3.5, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.5]
TSNO1410	[3.5, 3.5]	[3.5, 3.5]	[3.0, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]
CNUK4015	[2.5, 2.5]	[3.5, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]
CNUK2006	[3.0, 2.5]	[3.0, 2.0]	[3.5, 2.5]	[3.0, 2.0]	[3.0, 2.0]	[3.5, 2.5]	[3.5, 2.5]	[2.5, 1.5]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]
TRME3011	[3.0, 3.0]	[3.0, 4.0]	[2.5, 2.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 4.0]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 2.0]	[2.0, 1.5]
FRUL1013	[3.5, 3.5]	[3.0, 2.5]	[3.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 4.0]
NOAC1015	[3.0, 1.5]	[3.5, 2.0]	[3.5, 2.0]	[3.0, 1.5]	[3.5, 2.0]	[3.5, 1.0]	[3.5, 1.5]	[2.5, 1.5]	[3.0, 1.0]	[2.5, 1.5]	[2.5, 1.0]
DBAN1004	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]
CNUK1151	[2.0, 1.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 1.5]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.5]	[2.5, 2.5]	[2.0, 1.5]	[2.0, 2.0]
FIJY1010	[3.0, 3.0]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 4.0]
FRUL1024	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
ITRS2038	[3.0, 3.5]	[3.5, 3.0]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 2.5]	[3.5, 3.0]	[2.5, 3.0]
BGSU1012	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 4.0]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[4.0, 4.0]	[3.5, 3.5]
FRUB1024	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TSNO1428	[2.0, 1.5]	[3.0, 3.0]	[2.5, 1.0]	[1.5, 1.5]	[2.5, 3.5]	[3.0, 3.0]	[1.5, 1.5]	[2.0, 1.5]	[2.5, 1.5]	[2.5, 3.0]	[2.0, 1.0]
DBAN2058	[2.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[1.5, 1.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]
POPZ1003	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]
BGSU1004	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
ITRS2035	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]
NOUO1042	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO6002	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]
SPM04032	[2.5, 3.0]	[3.0, 3.5]	[3.5, 3.5]	[2.0, 1.5]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 1.5]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 1.5]
SWUL3017	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
BGSU1024	[3.0, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
DBAN2043	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]
SPM01007	[3.0, 3.5]	[2.5, 2.0]	[3.0, 2.5]	[2.5, 3.5]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 3.5]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 2.0]	[2.5, 3.0]
TRCU1130	[3.0, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.5, 3.5]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 3.0]
DBAN3006	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]
FRUB1028	[2.5, 3.0]	[2.0, 1.5]	[1.5, 1.0]	[2.0, 2.0]	[2.5, 2.0]	[1.5, 1.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
FIHE1014	[3.5, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.5]
ITTO6002	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO7035	[2.0, 1.5]	[2.0, 2.0]	[3.0, 2.0]	[2.0, 1.5]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
ITTO5003	[2.5, 2.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
CZPR3061	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]
SPM04015	[2.5, 3.0]	[3.0, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]	[2.5, 2.0]
NOUO1096	[2.5, 2.5]	[2.5, 2.0]	[4.0, 4.0]	[2.0, 1.5]	[2.0, 2.0]	[1.5, 1.5]	[3.5, 4.0]	[2.0, 2.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.0]
CNUK1129	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.0]
FRUC3088	[2.5, 2.5]	[3.5, 3.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 1.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 2.5]
CZKR1005	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
BGSU1054	[2.0, 2.0]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 3.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 3.0]
FIJY1061	[3.0, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
DBAN2020	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUC3014	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 4.0]
SPM03004	[2.5, 2.5]	[3.0, 2.0]	[3.5, 3.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.5, 2.0]
NOHO1013	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 2.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]
DBAN3035	[3.0, 3.0]	[4.0, 4.0]	[2.0, 2.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1236	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]
DBAN3023	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 2.0]
ITRS2022	[3.5, 3.5]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 4.0]	[3.5, 3.0]
BGSU1257	[3.5, 3.0]	[3.5, 3.0]	[3.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]
TRCU1109	[3.0, 2.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN1003	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
BGSU1034	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
TSNO1166	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.0]
SPM04042	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 2.5]	[2.5, 1.5]	[3.0, 3.0]	[3.0, 2.5]	[2.0, 2.0]
TRCU1147	[2.5, 2.5]	[3.5, 2.0]	[4.0, 2.5]	[3.5, 2.0]	[3.5, 1.5]	[3.0, 2.0]	[3.5, 2.0]	[3.0, 2.5]	[3.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]
CNUK4007	[3.5, 3.5]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUL2021	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
DBAN2032	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CZUN1009	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
SWUV3008	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUL1029	[2.5, 2.0]	[2.0, 1.5]	[2.0, 2.0]	[2.0, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.0]
NOHO1011	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[2.5, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]
DBAN3050	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TSNO1442	[2.5, 3.0]	[2.5, 1.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[2.5, 1.5]	[3.0, 3.5]	[2.5, 3.0]
SPM02013	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 4.0]	[2.0, 2.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]
BGSU1002	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]
FIAB1009	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
